20,37,29
83,15,397
87,36,429
18,90,185
84,16,389
80,89,38
12,19,439
98,50,23
80,21,477
61,39,56
99,88,471
99,82,236
38,69,437
63,90,70
54,3,342
32,62,255
29,97,339
49,98,32
80,26,391
20,14,274
16,91,357
69,78,399
66,40,73
36,35,185
28,87,289
99,53,267
85,44,405
61,32,385
96,62,185
12,3,180
81,25,492
30,88,272
31,73,124
68,19,435
23,87,165
87,20,367
41,7,448
81,29,210
25,59,21
90,82,380
54,89,110
76,63,170
89,74,248
84,23,462
7,70,492
5,29,353
84,16,466
35,62,424
36,9,112
6,78,483
52,96,439
77,11,471
94,2,366
10,63,339
33,97,252
78,19,305
73,47,26
6,95,295
46,91,112
9,42,472
4,22,394
66,3,83
75,62,269
81,87,470
39,53,474
21,30,62
40,28,490
55,88,222
64,15,209
52,36,63
66,70,365
77,11,486
43,67,493
61,33,208
19,24,208
40,78,250
83,29,257
86,7,36
33,20,347
98,71,126
27,48,263
26,54,341
81,77,333
36,57,277
48,4,203
45,71,23
90,10,71
5,90,474
33,92,110
37,83,307
41,60,341
59,82,213
75,56,7
23,99,128
62,38,495
63,5,62
69,10,89
73,71,283
74,70,68
95,77,454
83,49,55
2,48,103
56,42,150
15,82,366
26,49,115
61,39,80
91,52,26
91,62,167
73,43,354
16,93,448
28,56,282
53,42,417
2,45,470
52,67,138
21,77,483
85,55,379
58,91,274
47,15,498
37,70,244
89,66,166
50,74,393
69,49,269
72,75,192
53,82,267
47,81,232
56,88,74
13,28,254
66,41,291
51,22,237
33,83,420
34,31,359
15,44,78
9,29,284
73,74,258
56,7,107
28,75,21
27,9,106
30,93,53
61,96,175
30,76,488
23,17,48
9,74,18
63,25,29
50,39,50
79,99,111
83,2,411
86,91,433
62,32,25
78,92,375
11,44,144
14,15,170
45,88,193
99,92,69
84,99,62
65,72,162
45,72,63
29,64,151
82,58,455
58,38,95
6,43,156
61,54,274
64,99,6
21,34,139
27,50,417
69,90,106
36,44,103
26,65,56
82,50,323
55,72,473
18,24,470
12,55,255
34,90,143
71,15,473
90,64,55
12,7,123
10,24,435
3,42,367
87,85,83
10,26,5
4,87,229
20,17,301
32,5,375
29,22,2
33,73,356
65,56,229
97,51,76
26,90,230
18,47,219
81,94,316
41,95,88
56,7,363
91,82,135
96,37,205
95,36,136
56,72,120
71,56,413
17,15,404
31,42,228
58,47,304
8,64,220
41,28,323
8,45,58
65,91,351
98,67,379
86,47,397
94,90,3
7,4,497
59,70,449
7,57,281
6,96,414
62,90,6
98,43,39
70,75,60
43,6,102
12,85,246
4,75,442
46,27,409
28,18,383
38,30,293
90,68,448
12,80,205
79,60,216
66,31,266
86,71,85
96,33,489
65,75,68
73,2,255
39,88,207
74,39,429
68,90,348
76,33,228
20,98,249
60,26,289
94,71,30
